City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,EnergyClass,Price
Vilnius,Šeškinė,Ukmergės g.,"21,66m2",1,3,2022,Brick,Central,Partial,A,48000
Vilnius,Šeškinė,Ukmergės g.,"37,43m2",2,2,2022,Brick,Central thermostat,Partial,A,78300
Vilnius,Bajorai,Bajorų kel.,"55,07m2",3,3,2023,Brick,Central thermostat,Partial,nan,154200
Vilnius,Antakalnis,Duburio g.,"59,44m2",3,3,2022,Block house,Gas,Partial,B,142000
Vilnius,Pilaitė,Karaliaučiaus g.,"35,08m2",1,5,2023,Brick,Central thermostat,Partial,A++,86000
Vilnius,Pilaitė,Karaliaučiaus g.,"34,99m2",1,2,2023,Brick,Central thermostat,Fully,A++,82000
Vilnius,Lazdynėliai,Lazdynėlių g.,"29,51m2",1,2,2022,Brick,Central thermostat,Partial,nan,88100
Vilnius,Lazdynėliai,Lazdynėlių g.,83m2,4,1,2023,Brick,"Electric, sun energy",Fully,nan,179000
Vilnius,Lazdynai,Lazdynėlių g.,"59,29m2",3,2,2022,Brick,Central thermostat,Partial,nan,151200
Kaunas,Šilainiai,V. Bičiūno g.,70m2,3,2,2022,Brick,Aerothermal,Partial,A++,119000
Kaunas,Žaliakalnis,Žeimenos g.,"45,62m2",2,3,2023,Brick,Central thermostat,Partial,A++,109488
Vilnius,Žirmūnai,Žirmūnų g.,"60,92m2",3,5,1968,Block house,Central,Fully,nan,127000
Kaunas,Dainava,Taikos pr.,"56,35m2",2,7,2022,Brick,Central thermostat,Partial,A+,129041
Vilnius,Bajorai,Bajorų kel.,"40,23m2",2,4,2023,Brick,Central thermostat,Partial,A+,119100
Klaipėda,Šauliai,Ragainės g.,45m2,2,2,2022,Brick,Central thermostat,Partial,A+,86990
Vilnius,Bajorai,Bajorų kel.,"32,73m2",2,2,2022,Monolithic,Central thermostat,Partial,A+,102900
Kaunas,Centras,A. Juozapavičiaus pr.,"43,04m2",2,6,2021,Monolithic,Central thermostat,Partial,A+,131272
Palanga,Šventoji,Mokyklos g.,34m2,2,2,1987,Brick,"Electric, aerothermal",Partial,nan,59880
Kaunas,Centras,A. Mickevičiaus g.,"91,02m2",4,3,1938,Brick,Central,Fully,nan,279000
Kaunas,Centras,A. Mickevičiaus g.,"39,61m2",2,4,2022,Monolithic,Central thermostat,Partial,A+,141100
Kaunas,Centras,A. Mickevičiaus g.,"34,68m2",2,4,2022,Monolithic,Central thermostat,Fully,A+,127100
