City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price
Vilnius,Bajorai,Bajorų kel.,43.01,2,1,2022,Brick,Gas,Partial,175000
Vilnius,Lazdynėliai,Žaibo g.,40.95,2,1,2018,Brick,Gas,Fully,155000
Klaipėda,Centras,Gintaro g.,54.0,2,2,1988,Brick,Central,Fully,120000
Vilnius,Bajorai,Bajorų kel.,54.84,3,2,2023,Brick,Central thermostat,Partial,152800
Kaunas,Eiguliai,Ukmergės g.,60.97,3,1,1981,Block house,Central,Fully,80000
Vilnius,Šnipiškės,A. Juozapavičiaus g.,90.2,3,6,2005,Brick,Central thermostat,Fully,349000
Vilnius,Antakalnis,P. Vileišio g.,26.62,2,3,1961,Brick,Electric,Fully,99000
Kaunas,Dainava,V. Krėvės pr.,37.15,2,2,2023,Monolithic,Central thermostat,Partial,81730
Kaunas,Dainava,V. Krėvės pr.,38.4,2,3,2022,Brick,Gas,Fully,229000
Vilnius,Pilaitė,Karaliaučiaus g.,56.78,3,9,2018,Block house,Central thermostat,Fully,214000
Kaunas,Šilainiai,Žaibo g.,64.48,2,8,2022,Monolithic,Central thermostat,Partial,100000
Vilnius,Justiniškės,Taikos g.,90.92,4,1,1985,Block house,Central,Fully,183000
Klaipėda,Centras,Tilžės g.,62.56,2,2,1930,Brick,Solid fuel,Not,79000
Kauno r. sav.,Jonučių II k.,Versmės g.,47.0,2,2,2009,Brick,Gas,Fully,117000
Vilnius,Naujininkai,Kapsų g.,36.08,2,3,2023,Monolithic,Central thermostat,Partial,133500
Vilnius,Naujininkai,Kapsų g.,58.54,2,2,2022,Brick,Gas,Partial,187328
Kaunas,Kalniečiai,Geležinio Vilko g.,62.0,3,5,1978,Block house,Central,Fully,85000
Vilnius,Naujamiestis,Skroblų g.,49.38,2,2,2022,Monolithic,Central thermostat,Fully,205144
Vilnius,Naujamiestis,Skroblų g.,44.1,2,4,2022,Monolithic,Central thermostat,Fully,187924
Vilnius,Šnipiškės,Giedraičių g.,34.15,1,3,2021,Brick,Central thermostat,Partial,134200
Vilnius,Šnipiškės,Giedraičių g.,86.86,4,3,2006,Brick,Gas,Fully,287000
Vilnius,Visoriai,Visorių g.,58.34,3,5,2022,Brick,Central thermostat,Partial,172583
Vilnius,Visoriai,Visorių g.,26.41,1,5,2022,Brick,Central thermostat,Partial,90703
Vilnius,Visoriai,Visorių g.,42.86,2,3,2022,Brick,Central thermostat,Partial,138167
Vilnius,Žemieji Paneriai,Ūmėdžių g.,60.08,2,3,1994,Brick,Central,Fully,134999
Vilnius,Naujamiestis,Naugarduko g.,45.19,3,1,1961,Block house,Central,Fully,125000
Vilnius,Pilaitė,Simono Grunau g.,51.67,3,3,2022,Brick,Gas,Partial,98173
Kauno r. sav.,Jonučių II k.,Versmės g.,77.37,3,2,2022,Brick,Gas,Partial,108318
Kaunas,Žemieji Šančiai,Sodų g.,73.07,3,2,2018,Brick,Gas,Fully,152000
Vilnius,Visoriai,Visorių g.,48.04,2,4,2023,Brick,Central thermostat,Partial,159031
Vilnius,Justiniškės,Mozūriškių g.,77.0,4,1,2023,Brick,Aerothermal,Partial,292000
Vilnius,Pilaitė,Mozūriškių g.,59.47,3,1,2023,Brick,Aerothermal,Partial,189000
Kaunas,Šilainiai,Žaibo g.,42.0,1,6,2022,Monolithic,Central thermostat,Partial,72000
Klaipėda,Sportininkai,Pušyno g.,37.08,2,2,1992,Brick,Central,Fully,60000
Vilnius,Naujamiestis,Algirdo g.,75.27,3,2,2024,Brick,Central thermostat,Partial,278499
Vilnius,Naujamiestis,Naugarduko g.,47.23,2,2,2022,Brick,Gas,Fully,180000
Vilnius,Naujininkai,Šaltkalvių g.,27.5,1,9,1974,Brick,Central,Fully,65500
